Date,Name,Year,Letterboxd URI,Rating
2023-08-07,Barbie,2023,https://boxd.it/bCLK,4
2023-08-07,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-08-07,Interstellar,2014,https://boxd.it/4VZ8,4.5
2023-08-16,Passages,2023,https://boxd.it/xX9c,3.5
2023-12-03,Twelve Monkeys,1995,https://boxd.it/2beQ,3.5
2023-12-04,Come and See,1985,https://boxd.it/1w9q,4
2023-12-10,The Holdovers,2023,https://boxd.it/vHza,4.5
2024-04-26,[REC],2007,https://boxd.it/20ma,4
2024-04-26,Creep,2014,https://boxd.it/7l4c,3.5
2024-04-26,Creep 2,2017,https://boxd.it/dSEO,3.5
2024-04-26,Troll Hunter,2010,https://boxd.it/NQY,3.5
2024-04-26,"As Above, So Below",2014,https://boxd.it/7yui,3.5
2024-04-26,Paranormal Activity,2007,https://boxd.it/1yIM,3.5
2024-04-26,Force Majeure,2014,https://boxd.it/7UcA,4
2024-04-26,The Death of Stalin,2017,https://boxd.it/ea9Y,4
2024-04-26,The Intouchables,2011,https://boxd.it/2FT0,4.5
2024-04-26,Boy,2010,https://boxd.it/13RS,4
2024-04-26,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,4
2024-04-26,Wild Tales,2014,https://boxd.it/7UmK,4
2024-04-26,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2024-04-26,About Time,2013,https://boxd.it/43bI,4
2024-04-26,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2024-04-26,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE,4.5
2024-04-26,Life of Brian,1979,https://boxd.it/2a4q,4.5
2024-04-26,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4.5
2024-04-26,Shaun the Sheep Movie,2015,https://boxd.it/7Pdy,4
2024-04-26,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,4
2024-04-26,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2024-04-26,Tucker and Dale vs. Evil,2010,https://boxd.it/Mce,4
2024-04-26,Dope,2015,https://boxd.it/9Tho,4
2024-04-26,Stranger Than Fiction,2006,https://boxd.it/28Za,4
2024-04-26,Sorry to Bother You,2018,https://boxd.it/f21E,4.5
2024-04-26,Shaun of the Dead,2004,https://boxd.it/29J8,4
2024-04-26,Captain Fantastic,2016,https://boxd.it/b2K2,4
2024-04-26,Paddington 2,2017,https://boxd.it/bCF8,4
2024-04-26,Game Night,2018,https://boxd.it/fRtu,4
2024-04-26,Frank,2014,https://boxd.it/5hII,4
2024-04-26,Safety Not Guaranteed,2012,https://boxd.it/2Y3M,4
2024-04-26,The Boat That Rocked,2009,https://boxd.it/1FZA,4
2024-04-26,Frequently Asked Questions About Time Travel,2009,https://boxd.it/1Au8,4
2024-04-26,In Bruges,2008,https://boxd.it/20n8,4
2024-04-26,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4
2024-04-26,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,4
2024-04-26,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2024-04-26,Bottoms,2023,https://boxd.it/uGf2,4
2024-04-26,Logan Lucky,2017,https://boxd.it/dZrs,3.5
2024-04-26,"Are You There God? It's Me, Margaret.",2023,https://boxd.it/kiYC,4
2024-04-26,Triangle of Sadness,2022,https://boxd.it/hXlq,3.5
2024-04-26,Poor Things,2023,https://boxd.it/tNWU,4.5
2024-04-26,The Descendants,2011,https://boxd.it/4Ba,4
2024-04-26,Shrek 2,2004,https://boxd.it/29z8,4
2024-04-26,Patriot,2015,https://boxd.it/craA,4
2024-04-26,The Orphanage,2007,https://boxd.it/2bfE,4
2024-04-26,Barbarian,2022,https://boxd.it/yohi,4
2024-04-26,A Quiet Place,2018,https://boxd.it/fVJQ,4.5
2024-04-26,Hereditary,2018,https://boxd.it/hNVe,4
