Date,Name,Year,Letterboxd URI
2024-04-26,Apocalypse Now,1979,https://boxd.it/6ZS
2024-04-26,Citizen Kane,1941,https://boxd.it/71O
2024-04-26,Blue Valentine,2010,https://boxd.it/MxG
2024-04-26,Grave of the Fireflies,1988,https://boxd.it/1RUM
2024-04-26,Léolo,1992,https://boxd.it/1Uxw
2024-04-26,Network,1976,https://boxd.it/1VqG
2024-04-26,Waking Life,2001,https://boxd.it/1Zdc
2024-04-26,Paprika,2006,https://boxd.it/23wW
2024-04-26,Adaptation.,2002,https://boxd.it/26mA
2024-04-26,The Virgin Suicides,1999,https://boxd.it/28JG
2024-04-26,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2024-04-26,Capote,2005,https://boxd.it/2atq
2024-04-26,Magnolia,1999,https://boxd.it/2aze
2024-04-26,A Clockwork Orange,1971,https://boxd.it/2aVE
2024-04-26,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-04-26,The Ambassador,2011,https://boxd.it/2XEM
2024-04-26,When Marnie Was There,2014,https://boxd.it/78pm
2024-04-26,Pawn Sacrifice,2014,https://boxd.it/7dlE
2024-04-26,Love & Mercy,2014,https://boxd.it/8bd6
2024-04-26,99 Homes,2014,https://boxd.it/8KuG
2024-04-26,Mission Blue,2014,https://boxd.it/8SH4
2024-04-26,Youth,2015,https://boxd.it/9Y7S
2024-04-26,Unity,2015,https://boxd.it/bziA
2024-04-26,Samurai Champloo,2004,https://boxd.it/o8go
2024-04-26,Doodlebug,1997,https://boxd.it/TZC
2024-04-26,Crazy Heart,2009,https://boxd.it/1wds
2024-04-26,The Secret Garden,1993,https://boxd.it/1Uim
2024-04-26,The Princess and the Frog,2009,https://boxd.it/1WQq
2024-04-26,I'm Not There,2007,https://boxd.it/24Ys
2024-04-26,The Treasure of the Sierra Madre,1948,https://boxd.it/25Lk
2024-04-26,Mulholland Drive,2001,https://boxd.it/297o
2024-04-26,Lincoln,2012,https://boxd.it/2n2s
2024-04-26,Wolf Children,2012,https://boxd.it/3Ipk
2024-04-26,Upstream Color,2013,https://boxd.it/4Cwc
2024-04-26,Only Lovers Left Alive,2013,https://boxd.it/4O1U
2024-04-26,The End of the Tour,2015,https://boxd.it/7jIE
2024-04-26,The Handmaiden,2016,https://boxd.it/948A
2024-04-26,The Red Turtle,2016,https://boxd.it/bdkE
2024-04-26,Loving Vincent,2017,https://boxd.it/biIQ
2024-04-26,American Honey,2016,https://boxd.it/bk7C
2024-04-26,Quay,2015,https://boxd.it/bQZm
2024-04-26,After the Storm,2016,https://boxd.it/d0HY
2024-04-26,Phantom Thread,2017,https://boxd.it/e4uc
2024-04-26,Lean on Pete,2017,https://boxd.it/emgM
2024-04-26,Goodbye Christopher Robin,2017,https://boxd.it/eMZS
2024-04-26,Loveless,2017,https://boxd.it/fcFa
2024-04-26,The Breadwinner,2017,https://boxd.it/frLs
2024-04-26,Submarine,2010,https://boxd.it/H4a
2024-04-26,The Panic in Needle Park,1971,https://boxd.it/1rwu
2024-04-26,Days of Heaven,1978,https://boxd.it/1JRg
2024-04-26,Calvaire,2004,https://boxd.it/1ROk
2024-04-26,Kids,1995,https://boxd.it/1YUY
2024-04-26,Shooting Dogs,2005,https://boxd.it/201G
2024-04-26,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe
2024-04-26,Do the Right Thing,1989,https://boxd.it/29gA
2024-04-26,"Good Morning, Vietnam",1987,https://boxd.it/29Aq
2024-04-26,Akira,1988,https://boxd.it/2b1i
2024-04-26,Ticket to Heaven,1981,https://boxd.it/4cTO
2024-04-26,Crimson Peak,2015,https://boxd.it/62Ty
2024-04-26,The Light Between Oceans,2016,https://boxd.it/8Lf8
2024-04-26,Victoria,2015,https://boxd.it/amSe
2024-04-26,The True Cost,2015,https://boxd.it/bgtO
2024-04-26,The Disaster Artist,2017,https://boxd.it/cTqc
2024-04-26,Borg vs McEnroe,2017,https://boxd.it/dViG
2024-04-26,Brawl in Cell Block 99,2017,https://boxd.it/dWOo
2024-04-26,Call Me by Your Name,2017,https://boxd.it/dYmm
2024-04-26,Abacus: Small Enough to Jail,2016,https://boxd.it/etNI
2024-04-26,Mudbound,2017,https://boxd.it/eCsu
2024-04-26,Columbus,2017,https://boxd.it/eCuA
2024-04-26,"Love, Simon",2018,https://boxd.it/g02s
2024-04-26,Counterpart,2014,https://boxd.it/hETo
2024-04-26,Witness for the Prosecution,1957,https://boxd.it/18H4
2024-04-26,The White Diamond,2004,https://boxd.it/1yBc
2024-04-26,Legion,2010,https://boxd.it/1zVi
2024-04-26,Suspiria,1977,https://boxd.it/1SNW
2024-04-26,Dog Soldiers,2002,https://boxd.it/1SRE
2024-04-26,Primeval,2007,https://boxd.it/24yu
2024-04-26,Doctor Zhivago,1965,https://boxd.it/29jk
2024-04-26,Miller's Crossing,1990,https://boxd.it/2avG
2024-04-26,Raising Arizona,1987,https://boxd.it/2avQ
